----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
            ReLU-117           [-1, 64, 56, 56]               0
          Conv2d-118           [-1, 64, 56, 56]          36,864
     BatchNorm2d-119           [-1, 64, 56, 56]             128
          Conv2d-120           [-1, 64, 56, 56]           8,192
          Conv2d-121           [-1, 64, 56, 56]           8,192
     BatchNorm2d-122           [-1, 64, 56, 56]             128
     BatchNorm2d-123           [-1, 64, 56, 56]             128
            ReLU-124           [-1, 64, 56, 56]               0
      BasicBlock-125           [-1, 64, 56, 56]               0
        Masking4-126           [-1, 64, 56, 56]               0
          Conv2d-127          [-1, 128, 28, 28]          73,728
     BatchNorm2d-128          [-1, 128, 28, 28]             256
            ReLU-129          [-1, 128, 28, 28]               0
          Conv2d-130          [-1, 128, 28, 28]         147,456
     BatchNorm2d-131          [-1, 128, 28, 28]             256
          Conv2d-132          [-1, 128, 28, 28]           8,192
     BatchNorm2d-133          [-1, 128, 28, 28]             256
            ReLU-134          [-1, 128, 28, 28]               0
      BasicBlock-135          [-1, 128, 28, 28]               0
          Conv2d-136          [-1, 128, 28, 28]         147,456
     BatchNorm2d-137          [-1, 128, 28, 28]             256
            ReLU-138          [-1, 128, 28, 28]               0
          Conv2d-139          [-1, 128, 28, 28]         147,456
     BatchNorm2d-140          [-1, 128, 28, 28]             256
            ReLU-141          [-1, 128, 28, 28]               0
      BasicBlock-142          [-1, 128, 28, 28]               0
          Conv2d-143          [-1, 128, 28, 28]         147,456
     BatchNorm2d-144          [-1, 128, 28, 28]             256
            ReLU-145          [-1, 128, 28, 28]               0
          Conv2d-146          [-1, 128, 28, 28]         147,456
     BatchNorm2d-147          [-1, 128, 28, 28]             256
            ReLU-148          [-1, 128, 28, 28]               0
      BasicBlock-149          [-1, 128, 28, 28]               0
          Conv2d-150          [-1, 128, 28, 28]         147,456
     BatchNorm2d-151          [-1, 128, 28, 28]             256
            ReLU-152          [-1, 128, 28, 28]               0
          Conv2d-153          [-1, 128, 28, 28]         147,456
     BatchNorm2d-154          [-1, 128, 28, 28]             256
            ReLU-155          [-1, 128, 28, 28]               0
      BasicBlock-156          [-1, 128, 28, 28]               0
          Conv2d-157          [-1, 256, 28, 28]         294,912
     BatchNorm2d-158          [-1, 256, 28, 28]             512
            ReLU-159          [-1, 256, 28, 28]               0
          Conv2d-160          [-1, 256, 28, 28]         589,824
     BatchNorm2d-161          [-1, 256, 28, 28]             512
          Conv2d-162          [-1, 256, 28, 28]          32,768
          Conv2d-163          [-1, 256, 28, 28]          32,768
     BatchNorm2d-164          [-1, 256, 28, 28]             512
     BatchNorm2d-165          [-1, 256, 28, 28]             512
            ReLU-166          [-1, 256, 28, 28]               0
      BasicBlock-167          [-1, 256, 28, 28]               0
       MaxPool2d-168          [-1, 256, 14, 14]               0
          Conv2d-169          [-1, 512, 14, 14]       1,179,648
     BatchNorm2d-170          [-1, 512, 14, 14]           1,024
            ReLU-171          [-1, 512, 14, 14]               0
          Conv2d-172          [-1, 512, 14, 14]       2,359,296
     BatchNorm2d-173          [-1, 512, 14, 14]           1,024
          Conv2d-174          [-1, 512, 14, 14]         131,072
          Conv2d-175          [-1, 512, 14, 14]         131,072
     BatchNorm2d-176          [-1, 512, 14, 14]           1,024
     BatchNorm2d-177          [-1, 512, 14, 14]           1,024
            ReLU-178          [-1, 512, 14, 14]               0
      BasicBlock-179          [-1, 512, 14, 14]               0
       MaxPool2d-180            [-1, 512, 7, 7]               0
          Conv2d-181           [-1, 1024, 7, 7]       4,718,592
     BatchNorm2d-182           [-1, 1024, 7, 7]           2,048
            ReLU-183           [-1, 1024, 7, 7]               0
          Conv2d-184           [-1, 1024, 7, 7]       9,437,184
     BatchNorm2d-185           [-1, 1024, 7, 7]           2,048
          Conv2d-186           [-1, 1024, 7, 7]         524,288
          Conv2d-187           [-1, 1024, 7, 7]         524,288
     BatchNorm2d-188           [-1, 1024, 7, 7]           2,048
     BatchNorm2d-189           [-1, 1024, 7, 7]           2,048
            ReLU-190           [-1, 1024, 7, 7]               0
      BasicBlock-191           [-1, 1024, 7, 7]               0
 ConvTranspose2d-192          [-1, 512, 14, 14]       2,097,664
     BatchNorm2d-193          [-1, 512, 14, 14]           1,024
            ReLU-194          [-1, 512, 14, 14]               0
          Conv2d-195          [-1, 512, 14, 14]       4,718,592
     BatchNorm2d-196          [-1, 512, 14, 14]           1,024
            ReLU-197          [-1, 512, 14, 14]               0
          Conv2d-198          [-1, 512, 14, 14]       2,359,296
     BatchNorm2d-199          [-1, 512, 14, 14]           1,024
          Conv2d-200          [-1, 512, 14, 14]         524,288
          Conv2d-201          [-1, 512, 14, 14]         524,288
     BatchNorm2d-202          [-1, 512, 14, 14]           1,024
     BatchNorm2d-203          [-1, 512, 14, 14]           1,024
            ReLU-204          [-1, 512, 14, 14]               0
      BasicBlock-205          [-1, 512, 14, 14]               0
 ConvTranspose2d-206          [-1, 256, 28, 28]         524,544
     BatchNorm2d-207          [-1, 256, 28, 28]             512
            ReLU-208          [-1, 256, 28, 28]               0
          Conv2d-209          [-1, 256, 28, 28]       1,179,648
     BatchNorm2d-210          [-1, 256, 28, 28]             512
            ReLU-211          [-1, 256, 28, 28]               0
          Conv2d-212          [-1, 256, 28, 28]         589,824
     BatchNorm2d-213          [-1, 256, 28, 28]             512
          Conv2d-214          [-1, 256, 28, 28]         131,072
          Conv2d-215          [-1, 256, 28, 28]         131,072
     BatchNorm2d-216          [-1, 256, 28, 28]             512
     BatchNorm2d-217          [-1, 256, 28, 28]             512
            ReLU-218          [-1, 256, 28, 28]               0
      BasicBlock-219          [-1, 256, 28, 28]               0
          Conv2d-220          [-1, 128, 28, 28]         294,912
     BatchNorm2d-221          [-1, 128, 28, 28]             256
            ReLU-222          [-1, 128, 28, 28]               0
          Conv2d-223          [-1, 128, 28, 28]         147,456
     BatchNorm2d-224          [-1, 128, 28, 28]             256
          Conv2d-225          [-1, 128, 28, 28]          32,768
          Conv2d-226          [-1, 128, 28, 28]          32,768
     BatchNorm2d-227          [-1, 128, 28, 28]             256
     BatchNorm2d-228          [-1, 128, 28, 28]             256
            ReLU-229          [-1, 128, 28, 28]               0
      BasicBlock-230          [-1, 128, 28, 28]               0
        Masking3-231          [-1, 128, 28, 28]               0
          Conv2d-232          [-1, 256, 14, 14]         294,912
     BatchNorm2d-233          [-1, 256, 14, 14]             512
            ReLU-234          [-1, 256, 14, 14]               0
          Conv2d-235          [-1, 256, 14, 14]         589,824
     BatchNorm2d-236          [-1, 256, 14, 14]             512
          Conv2d-237          [-1, 256, 14, 14]          32,768
     BatchNorm2d-238          [-1, 256, 14, 14]             512
            ReLU-239          [-1, 256, 14, 14]               0
      BasicBlock-240          [-1, 256, 14, 14]               0
          Conv2d-241          [-1, 256, 14, 14]         589,824
     BatchNorm2d-242          [-1, 256, 14, 14]             512
            ReLU-243          [-1, 256, 14, 14]               0
          Conv2d-244          [-1, 256, 14, 14]         589,824
     BatchNorm2d-245          [-1, 256, 14, 14]             512
            ReLU-246          [-1, 256, 14, 14]               0
      BasicBlock-247          [-1, 256, 14, 14]               0
          Conv2d-248          [-1, 256, 14, 14]         589,824
     BatchNorm2d-249          [-1, 256, 14, 14]             512
            ReLU-250          [-1, 256, 14, 14]               0
          Conv2d-251          [-1, 256, 14, 14]         589,824
     BatchNorm2d-252          [-1, 256, 14, 14]             512
            ReLU-253          [-1, 256, 14, 14]               0
